;Language.ID;Condition;LinguisticStructure;LinguisticStructure.Cat;WordLength;Confusability
1;big-4-6;big;0.0725975134581182;1;4.30434782608696;0.138208168642951
2;small-18-4;small;0.090233625085178;1;4.43478260869565;0.18102766798419
3;big-10-5;big;0.349452503398207;2;5.30434782608696;0.26504329004329
4;small-22-4;small;0.252235961954202;2;4.65217391304348;0.369367588932806
5;big-5-6;big;0.581908539911555;3;6.8695652173913;0.31998556998557
6;small-17-1;small;0.594566125085155;3;6.47826086956522;0.241599079444929
7;big-11-1;big;0.693643610685007;4;6.34782608695652;0.317074471422297
8;small-21-3;small;0.786160718845017;4;7;0.36104052951879
9;big-3-6;big;0.846465053932806;5;5.78260869565217;0.311048371917937
10;small-16-3;small;0.839195166598208;5;6.60869565217391;0.323268398268398